code,species,origin,life_span,form,family
Son_ole,Sonchus_oleraceus,Exotic,Annual,Herb,Asteraceae
Son_asp,Sonchus_asper,Exotic,Annual/Biennial,Herb,Asteraceae
Por_ole,Portulaca_oleracea,Native,Annual,Herb,Portulacaceae
Ein_nut,Einadia_nutans,Native,Perennial,Herb,Chenopodiaceae
Sen_mad,Senecio_madagascariensis,Exotic,Annual,Herb,Asteraceae
Pas_foe,Passiflora_foetida,Exotic,Perennial,Herb,Passifloraceae
Gam_cal,Gamochaeta_calviceps,Exotic,Annual,Herb,Asteraceae
Cyp_gra,Cyperus_gracilis,Native,Perennial,Sedge/Rush,Cyperaceae
Cyp_agg,Cyperus_aggregatus,Exotic,Perennial,Sedge/Rush,Cyperaceae
Con_bon,conyza_bonariensis,Exotic,Annual,Herb,Asteraceae
Rum_bro,Rumex_brownii,Native,Perennial,Herb,Polygonaceae
Ver_lit,verbena_litoralis,Exotic,Annual,Herb,Verbenaceae
Ver_bon,verbena_bonariensis,Exotic,Perennial,Herb,Verbenaceae
Oxa_cor,oxalis_corniculata,Exotic,Perennial,Herb,Oxalidaceae
Eup_dru,Euphorbia_drummondii,Native,Perennial,Herb,Euphorbiaceae
Euc_cre,Eucalyptus_crebra,Native,Perennial,Tree,Myrtaceae
Gal_ten,galactica_tenuifolia,Native,Perennial,Legume,Fabaceae
Sol_nig,solanum_nigrum,Exotic,Perennial,Herb,Solanaceae
Lan_cam,Lantana_camara,Exotic,Perennial,Shrub,Verbenaceae
Dic_rep,Dichondra_repens,Native,Perennial,Herb,Convolvulaceae
Gly_wig,glycine_wightii,Exotic,Perennial,Legume,Fabaceae
Wah_gra,wahlenbergia_gracilis,Native,Perennial,Herb,Campanulaceae
Lob_pur,Lobelia_purpurascens,Native,Perennial,Herb,Campanulaceae
Ger_sol,Geranium_solanderi,Native,Perennial,Herb,Geraniaceae
Hyd_lax,Hydrocotyle_laxiflora,Native,Perennial,Herb,Araliaceae
Euc_sph,euchiton_sphaericus,Native,Perennial,Herb,Asteraceae
Bot_bla,Bothriochloa_bladhii,Native,Perennial,Grass,Poaceae
Ari_que,Aristida_queenslandica,Native,Perennial,Grass,Poaceae
The_aus,Thesium_australe,Native,Perennial,Herb,Santalaceae
Gly_tab,Glycene_tabacina,Native,Perennial,Legume,Fabaceae
Sig_ori,sigesbeckia_orientalis,Native,Annual,Herb,Asteraceae
Cyp_dif,Cyperus_difformis,Native,Perennial,Sedge/Rush,Cyperaceae
Cyp_bre,Cyperus_brevifolus,Exotic,Perennial,Sedge/Rush,Cyperaceae
Dig_par,digitaria_parviflora,Native,Perennial,Grass,Poaceae
Spo_cre,Sporobolus_creber,Native,Perennial,Grass,Poaceae
Pas_dis,Paspalidium_distans,Native,Perennial,Grass,Poaceae
Pan_eff,Panicum_effusum,Native,Perennial,Grass,Poaceae
Mel_rep,Melinis_repens,Exotic,Perennial,Grass,Poaceae
Spo_elo,Sporobolus_elongatus_,Native,Perennial,Grass,Poaceae
Pan_dec,Panicum_decompositum,Native,Perennial,Grass,Poaceae
Chl_ven,Chloris_ventricosa,Native,Perennial,Grass,Poaceae
Cym_ref,Cymbopogon_refractus,Native,Perennial,Grass,Poaceae
Cyp_pol,Cyperus_polystachyos,Native,,Sedge/Rush,Cyperaceae
Cap_spi,Capillipedium_spicigerum,Native,Perennial,Grass,Poaceae
Cyn_dac,Cynodon_dactylon,Exotic,Perennial,Grass,Poaceae
Bot_dec,Bothriochloa_decipiens,Native,Perennial,Grass,Poaceae
Era_lep,Eragrostis_leptostachya,Native,Perennial,Grass,Poaceae
