location,transect,quadrat,burn_trt
SP3,T37,Q1,Burn
SP3,T37,Q3,Burn
SP3,T37,Q5,Burn
SP3,T38,Q1,Burn
SP3,T38,Q3,Burn
SP3,T38,Q5,Burn
SP3,T39,Q1,Control
SP3,T39,Q3,Control
SP3,T39,Q5,Control
SP3,T40,Q1,Control
SP3,T40,Q3,Control
SP3,T40,Q5,Control
SP4,T41,Q1,Control
SP4,T41,Q3,Control
SP4,T41,Q5,Control
SP4,T42,Q1,Burn
SP4,T42,Q3,Burn
SP4,T42,Q5,Burn
SP4,T43,Q1,Burn
SP4,T43,Q3,Burn
SP4,T43,Q5,Burn
SP4,T44,Q1,Burn
SP4,T44,Q3,Burn
SP4,T44,Q5,Burn
SP4,T45,Q0,Control
SP4,T45,Q2,Control
SP4,T45,Q4,Control
SP4,T46,Q1,Control
SP4,T46,Q3,Control
SP4,T46,Q5,Control
